id_transaccion,fecha_hora,comercio,categoria_comercio,ciudad_comercio,terminal,cliente,correo_cliente,tarjeta_ultimos4,marca_tarjeta,monto,moneda,estatus,metodo_captura,contracargo
TRX0000001,2026-03-19 11:30:13,Boutique  Iris,ropa,Ciudad de Mexico,TPV01-CIU,Lucia Gonzalez,lucia.gonzalez36@correo.mx,8401,AMEX,3358.53,MXN,RECHAZADA,MANUAL,N
TRX0000002,2026-01-26 13:09:01,GASOLINERA KM 12,combustible,Puebla,TPV03-PUE,Luis Ramirez,luis.ramirez58@correo.mx,8936,MASTERCARD,1052.23,MXN,APROBADA,BANDA,N
TRX0000003,2026-02-26 16:21:20,Super Norteno,supermercado,Monterrey,TPV01-MON,Jorge Gonzalez,jorge.gonzalez138@correo.mx,4950,AMEX,678.66,MXN,APROBADA,CHIP,N
TRX0000004,2026-06-03 09:22:53,SUPER NORTENO,supermercado,Monterrey,TPV01-MON,Sofia Nunez,sofia.nunez56@correo.mx,5954,AMEX,484.61,MXN,APROBADA,MANUAL,N
TRX0000005,2026-05-17 06:02:45,Farmacia del Sol,FARM,Ciudad de Mexico,TPV01-CIU,Teresa Salazar,teresa.salazar118@correo.mx,4699,VISA,325.49,MXN,APROBADA,CHIP,N
TRX0000006,2026-04-08 09:25:45,Boutique  Iris,ropa,Ciudad de Mexico,TPV01-CIU,Carmen Rivas,carmen.rivas139@correo.mx,4822,AMEX,5940.01,MXN,APROBADA,CHIP,N
TRX0000007,2026-05-26 06:28:23,Super Nortenio,Supermercado,Monterrey,TPV04-MON,Ivan Trejo,ivan.trejo180@correo.mx,8045,MASTERCARD,2729.5,MXN,APROBADA,BANDA,N
TRX0000008,2026-03-04 21:40:11,Farmacia del Sol ,FARM,Ciudad de Mexico,TPV04-CIU,Patricia Nunez,patricia.nunez52@correo.mx,8415,VISA,323.88,MXN,APROBADA,MANUAL,N
TRX0000009,2026-06-19 19:40:10,Boutique Iris,VESTIMENTA,Ciudad de Mexico,TPV01-CIU,Rocio Herrera,rocio.herrera165@correo.mx,6020,VISA,5121.94,MXN,APROBADA,CHIP,N
TRX0000010,2026-02-08 10:43:35,Boutique  Iris,VESTIMENTA,Ciudad de Mexico,TPV02-CIU,Patricia Gonzalez,patricia.gonzalez127@correo.mx,4793,VISA,3553.02,MXN,APROBADA,QR,N
